date,kwh
2026-06-26,12.015
2026-06-27,9.741
2026-06-28,5.394
2026-06-29,3.342
2026-06-30,7.608
2026-07-01,0.75
2026-07-02,1.29
2026-07-05,8.406
2026-07-09,0
2026-07-10,0
2026-07-11,0
2026-07-12,0
2026-07-14,0
2026-07-15,0
2026-07-16,0
2026-07-17,0
2026-07-18,0
2026-07-21,0
2026-07-22,0
2026-07-23,0
2026-07-24,0
2026-07-25,0
2026-07-26,0
2026-07-27,0
2026-07-28,0
2026-07-30,0
2026-07-31,0
2026-08-01,0
2026-08-02,0
2026-08-03,0
2026-08-04,0
2026-08-05,0
2026-08-06,0
2026-08-07,0
2026-08-08,0
2026-08-09,0
2026-08-10,0
2026-08-11,0
2026-08-12,0
2026-08-13,0
